t,sd2(t)
0,10.35370562634697
1,16.897014216442123
2,-15.071845552278809
3,3.1901159664884386
4,10.279552028835237
5,25.371963923854885
6,39.93350070541924
7,80.9950286942649
8,101.388305843858
9,109.98450537215551
10,90.58167856245197
11,74.70109486354382
12,91.02175059527825
13,84.46541774712531
14,64.79864574941212
15,60.62061682438153
16,32.14680943734465
17,31.822579855194284
18,37.77733617071369
19,23.050403998441652
20,31.305310388975514
21,30.54456720250299
22,26.956941015626064
23,37.75880547355327
24,48.0992903338809
25,41.77597790341169
26,53.068178684074184
27,36.05233160813269
28,55.1680197561609
29,40.22635857167826
30,27.498473956019076
31,37.664566009296415
32,54.63715718775009
33,108.54211436426311
34,136.012998395028
35,142.05814999408443
36,119.55240472108909
37,127.42690727829311
38,124.67668014075153
39,95.37405788299783
40,99.06922489655418
41,92.504763276738
42,64.40393072260342
43,60.4000996653226
44,80.92470265347767
45,67.41749504952139
46,70.16653430953735
47,68.65608868131824
48,62.601280071055214
49,54.379539312055655
50,68.25276783770941
51,60.60339203823706
52,71.70121934934404
53,78.0678800025737
54,63.55663000209542
55,62.805849010596795
56,62.02026846184658
57,81.59692182216818
58,82.9789126338905
59,110.31717200243638
60,156.02567424742256
61,170.56539273341707
62,174.28928549287704
63,179.03279139715227
64,164.11205580955948
65,130.0811084971308
66,128.40985839221497
67,128.21954630086452
68,104.94203177021153
69,85.22223089995819
70,106.79437085358184
71,103.33448705184679
72,99.72290725911108
73,103.20135842382464
74,118.35380660403632
75,116.88326811181588
76,107.03807614738749
77,113.73722557705977
78,140.40276001778028
79,109.94082271143394
80,119.64335437840452
81,120.18985601768787
82,108.80677063693035
83,110.273553238324
84,107.80633284662423
85,156.88516935945418
86,179.70954939272784
87,198.03094937197676
88,172.26741165054256
89,200.9287343012416
90,184.28945674537513
91,178.64711380156075
92,164.14700281733516
93,168.31873689432362
94,157.42620500356242
95,150.68868848441446
96,145.94350122594312
97,134.6326431244303
98,129.52073388626027
99,120.85510421693567
100,154.49012152590055
101,148.92316994011324
102,153.15992009933242
103,154.3752263765538
104,158.35892474190229
105,138.49068221624069
106,143.56523699728012
107,139.96836542668194
108,164.4110642137933
109,149.9546049313388
110,150.61905963489664
111,182.81061554300857
112,217.23680823465367
113,240.63217152533582
114,230.4186768071711
115,237.76712872903366
116,221.5041104485135
117,226.3608655190377
118,207.43844060777414
119,191.99315137965817
120,179.90759885255667
121,180.16747711849615
122,196.3322252815437
123,168.05743778242623
124,167.4341103253563
125,177.8059815465736
126,140.40381632509212
127,183.2616565774846
128,171.72223623044533
129,178.40536889284022
130,160.3200857768947
131,164.9539883458116
132,184.52802882852404
133,178.11147981170097
134,196.00637277255265
135,201.98642383152892
136,180.45134708008888
137,186.43075469789162
138,224.64884959878307
139,252.3429488507356
140,257.79748396222925
141,250.6079260631378
142,272.9758426304929
143,255.52600858621048
144,241.70539881813494
145,222.63650565183605
146,211.41029344724416
147,212.56913626408968
148,197.5587854544899
149,179.71516748108343
150,174.64236673785038
151,198.1994167896086
152,171.68783591303318
153,201.17761409476537
154,188.3694454731845
155,208.49376804863724
156,203.08177498605207
157,202.580566824385
158,217.54765195764804
159,211.98030305260576
160,219.72411038963946
161,198.5848578030937
162,209.21315406695808
163,216.68450871222893
164,273.0216209445236
165,300.94444278524026
166,302.6342434714086
167,310.7275107282575
168,295.95229906167657
169,296.7953853508016
170,263.50607114194753
171,256.63105074462055
172,259.24549879181166
173,240.93656882921104
