t,y1(t) = t/1000 = y1(t-1)+0.001,y2(t)=y2(t-1)*0.999,y3(t)=y1(t)+y2(t),y4(t) = y4(t-1)-0.001,y5(t)=y1(t)*t%2+y4(t)*(1-t%2)
0,0,1,1,1,1
1,"0,001","0,999",1,"0,999","0,001"
2,"0,002","0,998001","1,000001","0,998","0,998"
3,"0,003","0,997002999","1,000002999","0,997","0,003"
4,"0,004","0,996005996","1,000005996","0,996","0,996"
5,"0,005","0,99500999","1,00000999","0,995","0,005"
6,"0,006","0,99401498","1,00001498","0,994","0,994"
7,"0,007","0,993020965","1,000020965","0,993","0,007"
8,"0,008","0,9920279441","1,000027944","0,992","0,992"
9,"0,009","0,9910359161","1,000035916","0,991","0,009"
10,"0,01","0,9900448802","1,00004488","0,99","0,99"
11,"0,011","0,9890548353","1,000054835","0,989","0,011"
12,"0,012","0,9880657805","1,00006578","0,988","0,988"
13,"0,013","0,9870777147","1,000077715","0,987","0,013"
14,"0,014","0,986090637","1,000090637","0,986","0,986"
15,"0,015","0,9851045464","1,000104546","0,985","0,015"
16,"0,016","0,9841194418","1,000119442","0,984","0,984"
17,"0,017","0,9831353224","1,000135322","0,983","0,017"
18,"0,018","0,9821521871","1,000152187","0,982","0,982"
19,"0,019","0,9811700349","1,000170035","0,981","0,019"
20,"0,02","0,9801888648","1,000188865","0,98","0,98"
21,"0,021","0,979208676","1,000208676","0,979","0,021"
22,"0,022","0,9782294673","1,000229467","0,978","0,978"
23,"0,023","0,9772512378","1,000251238","0,977","0,023"
24,"0,024","0,9762739866","1,000273987","0,976","0,976"
25,"0,025","0,9752977126","1,000297713","0,975","0,025"
26,"0,026","0,9743224149","1,000322415","0,974","0,974"
27,"0,027","0,9733480925","1,000348092","0,973","0,027"
28,"0,028","0,9723747444","1,000374744","0,972","0,972"
29,"0,029","0,9714023696","1,00040237","0,971","0,029"
30,"0,03","0,9704309673","1,000430967","0,97","0,97"
31,"0,031","0,9694605363","1,000460536","0,969","0,031"
32,"0,032","0,9684910758","1,000491076","0,968","0,968"
33,"0,033","0,9675225847","1,000522585","0,967","0,033"
34,"0,034","0,9665550621","1,000555062","0,966","0,966"
35,"0,035","0,965588507","1,000588507","0,965","0,035"
36,"0,036","0,9646229185","1,000622919","0,964","0,964"
37,"0,037","0,9636582956","1,000658296","0,963","0,037"
38,"0,038","0,9626946373","1,000694637","0,962","0,962"
39,"0,039","0,9617319427","1,000731943","0,961","0,039"
40,"0,04","0,9607702107","1,000770211","0,96","0,96"
41,"0,041","0,9598094405","1,000809441","0,959","0,041"
42,"0,042","0,9588496311","1,000849631","0,958","0,958"
43,"0,043","0,9578907815","1,000890781","0,957","0,043"
44,"0,044","0,9569328907","1,000932891","0,956","0,956"
45,"0,045","0,9559759578","1,000975958","0,955","0,045"
46,"0,046","0,9550199818","1,001019982","0,954","0,954"
47,"0,047","0,9540649618","1,001064962","0,953","0,047"
48,"0,048","0,9531108969","1,001110897","0,952","0,952"
49,"0,049","0,952157786","1,001157786","0,951","0,049"
50,"0,05","0,9512056282","1,001205628","0,95","0,95"
51,"0,051","0,9502544226","1,001254423","0,949","0,051"
52,"0,052","0,9493041681","1,001304168","0,948","0,948"
53,"0,053","0,948354864","1,001354864","0,947","0,053"
54,"0,054","0,9474065091","1,001406509","0,946","0,946"
55,"0,055","0,9464591026","1,001459103","0,945","0,055"
56,"0,056","0,9455126435","1,001512644","0,944","0,944"
57,"0,057","0,9445671309","1,001567131","0,943","0,057"
58,"0,058","0,9436225637","1,001622564","0,942","0,942"
59,"0,059","0,9426789412","1,001678941","0,941","0,059"
60,"0,06","0,9417362622","1,001736262","0,94","0,94"
61,"0,061","0,940794526","1,001794526","0,939","0,061"
62,"0,062","0,9398537314","1,001853731","0,938","0,938"
63,"0,063","0,9389138777","1,001913878","0,937","0,063"
64,"0,064","0,9379749638","1,001974964","0,936","0,936"
65,"0,065","0,9370369889","1,002036989","0,935","0,065"
66,"0,066","0,9360999519","1,002099952","0,934","0,934"
67,"0,067","0,9351638519","1,002163852","0,933","0,067"
68,"0,068","0,9342286881","1,002228688","0,932","0,932"
69,"0,069","0,9332944594","1,002294459","0,931","0,069"
70,"0,07","0,9323611649","1,002361165","0,93","0,93"
71,"0,071","0,9314288038","1,002428804","0,929","0,071"
72,"0,072","0,930497375","1,002497375","0,928","0,928"
73,"0,073","0,9295668776","1,002566878","0,927","0,073"
74,"0,074","0,9286373107","1,002637311","0,926","0,926"
75,"0,075","0,9277086734","1,002708673","0,925","0,075"
76,"0,076","0,9267809647","1,002780965","0,924","0,924"
77,"0,077","0,9258541838","1,002854184","0,923","0,077"
78,"0,078","0,9249283296","1,00292833","0,922","0,922"
79,"0,079","0,9240034012","1,003003401","0,921","0,079"
80,"0,08","0,9230793978","1,003079398","0,92","0,92"
81,"0,081","0,9221563184","1,003156318","0,919","0,081"
82,"0,082","0,9212341621","1,003234162","0,918","0,918"
83,"0,083","0,920312928","1,003312928","0,917","0,083"
84,"0,084","0,919392615","1,003392615","0,916","0,916"
85,"0,085","0,9184732224","1,003473222","0,915","0,085"
86,"0,086","0,9175547492","1,003554749","0,914","0,914"
87,"0,087","0,9166371944","1,003637194","0,913","0,087"
88,"0,088","0,9157205572","1,003720557","0,912","0,912"
89,"0,089","0,9148048367","1,003804837","0,911","0,089"
90,"0,09","0,9138900319","1,003890032","0,91","0,91"
91,"0,091","0,9129761418","1,003976142","0,909","0,091"
92,"0,092","0,9120631657","1,004063166","0,908","0,908"
93,"0,093","0,9111511025","1,004151103","0,907","0,093"
94,"0,094","0,9102399514","1,004239951","0,906","0,906"
95,"0,095","0,9093297115","1,004329711","0,905","0,095"
96,"0,096","0,9084203818","1,004420382","0,904","0,904"
97,"0,097","0,9075119614","1,004511961","0,903","0,097"
98,"0,098","0,9066044494","1,004604449","0,902","0,902"
99,"0,099","0,905697845","1,004697845","0,901","0,099"
100,"0,1","0,9047921471","1,004792147","0,9","0,9"
101,"0,101","0,903887355","1,004887355","0,899","0,101"
102,"0,102","0,9029834676","1,004983468","0,898","0,898"
103,"0,103","0,9020804841","1,005080484","0,897","0,103"
104,"0,104","0,9011784037","1,005178404","0,896","0,896"
105,"0,105","0,9002772253","1,005277225","0,895","0,105"
106,"0,106","0,899376948","1,005376948","0,894","0,894"
107,"0,107","0,8984775711","1,005477571","0,893","0,107"
108,"0,108","0,8975790935","1,005579094","0,892","0,892"
109,"0,109","0,8966815144","1,005681514","0,891","0,109"
110,"0,11","0,8957848329","1,005784833","0,89","0,89"
111,"0,111","0,8948890481","1,005889048","0,889","0,111"
112,"0,112","0,893994159","1,005994159","0,888","0,888"
113,"0,113","0,8931001649","1,006100165","0,887","0,113"
114,"0,114","0,8922070647","1,006207065","0,886","0,886"
115,"0,115","0,8913148576","1,006314858","0,885","0,115"
116,"0,116","0,8904235428","1,006423543","0,884","0,884"
117,"0,117","0,8895331192","1,006533119","0,883","0,117"
118,"0,118","0,8886435861","1,006643586","0,882","0,882"
119,"0,119","0,8877549425","1,006754943","0,881","0,119"
120,"0,12","0,8868671876","1,006867188","0,88","0,88"
121,"0,121","0,8859803204","1,00698032","0,879","0,121"
122,"0,122","0,8850943401","1,00709434","0,878","0,878"
123,"0,123","0,8842092457","1,007209246","0,877","0,123"
124,"0,124","0,8833250365","1,007325036","0,876","0,876"
125,"0,125","0,8824417115","1,007441711","0,875","0,125"
126,"0,126","0,8815592697","1,00755927","0,874","0,874"
127,"0,127","0,8806777105","1,00767771","0,873","0,127"
128,"0,128","0,8797970328","1,007797033","0,872","0,872"
129,"0,129","0,8789172357","1,007917236","0,871","0,129"
130,"0,13","0,8780383185","1,008038318","0,87","0,87"
131,"0,131","0,8771602802","1,00816028","0,869","0,131"
132,"0,132","0,8762831199","1,00828312","0,868","0,868"
133,"0,133","0,8754068368","1,008406837","0,867","0,133"
134,"0,134","0,8745314299","1,00853143","0,866","0,866"
135,"0,135","0,8736568985","1,008656899","0,865","0,135"
136,"0,136","0,8727832416","1,008783242","0,864","0,864"
137,"0,137","0,8719104584","1,008910458","0,863","0,137"
138,"0,138","0,8710385479","1,009038548","0,862","0,862"
139,"0,139","0,8701675094","1,009167509","0,861","0,139"
140,"0,14","0,8692973419","1,009297342","0,86","0,86"
141,"0,141","0,8684280445","1,009428045","0,859","0,141"
142,"0,142","0,8675596165","1,009559616","0,858","0,858"
143,"0,143","0,8666920569","1,009692057","0,857","0,143"
144,"0,144","0,8658253648","1,009825365","0,856","0,856"
145,"0,145","0,8649595394","1,009959539","0,855","0,145"
146,"0,146","0,8640945799","1,01009458","0,854","0,854"
147,"0,147","0,8632304853","1,010230485","0,853","0,147"
148,"0,148","0,8623672548","1,010367255","0,852","0,852"
149,"0,149","0,8615048876","1,010504888","0,851","0,149"
150,"0,15","0,8606433827","1,010643383","0,85","0,85"
151,"0,151","0,8597827393","1,010782739","0,849","0,151"
152,"0,152","0,8589229566","1,010922957","0,848","0,848"
153,"0,153","0,8580640336","1,011064034","0,847","0,153"
154,"0,154","0,8572059696","1,01120597","0,846","0,846"
155,"0,155","0,8563487636","1,011348764","0,845","0,155"
156,"0,156","0,8554924148","1,011492415","0,844","0,844"
157,"0,157","0,8546369224","1,011636922","0,843","0,157"
158,"0,158","0,8537822855","1,011782286","0,842","0,842"
159,"0,159","0,8529285032","1,011928503","0,841","0,159"
160,"0,16","0,8520755747","1,012075575","0,84","0,84"
161,"0,161","0,8512234991","1,012223499","0,839","0,161"
162,"0,162","0,8503722756","1,012372276","0,838","0,838"
163,"0,163","0,8495219034","1,012521903","0,837","0,163"
164,"0,164","0,8486723815","1,012672381","0,836","0,836"
165,"0,165","0,8478237091","1,012823709","0,835","0,165"
166,"0,166","0,8469758854","1,012975885","0,834","0,834"
167,"0,167","0,8461289095","1,013128909","0,833","0,167"
168,"0,168","0,8452827806","1,013282781","0,832","0,832"
169,"0,169","0,8444374978","1,013437498","0,831","0,169"
170,"0,17","0,8435930603","1,01359306","0,83","0,83"
171,"0,171","0,8427494672","1,013749467","0,829","0,171"
172,"0,172","0,8419067178","1,013906718","0,828","0,828"
173,"0,173","0,841064811","1,014064811","0,827","0,173"
174,"0,174","0,8402237462","1,014223746","0,826","0,826"
175,"0,175","0,8393835225","1,014383522","0,825","0,175"
176,"0,176","0,838544139","1,014544139","0,824","0,824"
177,"0,177","0,8377055948","1,014705595","0,823","0,177"
178,"0,178","0,8368678892","1,014867889","0,822","0,822"
179,"0,179","0,8360310213","1,015031021","0,821","0,179"
180,"0,18","0,8351949903","1,01519499","0,82","0,82"
181,"0,181","0,8343597953","1,015359795","0,819","0,181"
182,"0,182","0,8335254355","1,015525436","0,818","0,818"
183,"0,183","0,8326919101","1,01569191","0,817","0,183"
184,"0,184","0,8318592182","1,015859218","0,816","0,816"
185,"0,185","0,831027359","1,016027359","0,815","0,185"
186,"0,186","0,8301963316","1,016196332","0,814","0,814"
187,"0,187","0,8293661353","1,016366135","0,813","0,187"
